Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524942977.03,-0.03833,0.124179,0.16926,0.08872999999999999,-1.003098,-0.079941,215.114944,-117.717422,-51.951141
1524942977.05,-0.027664,0.108347,0.187451,0.079544,-0.997543,-0.090988,214.664673,-117.791077,-51.94664
1524942977.07,-0.013318,0.057453,0.194821,0.067017,-1.006729,-0.076508,214.813354,-118.166519,-51.948135
1524942977.09,-0.010402,-0.010572,0.18706,0.037216,-0.997711,-0.058029,214.587875,-118.24118,-51.720871
1524942977.11,-0.009643,-0.05843300000000001,0.161188,0.034363,-0.997009,-0.065125,213.313202,-118.162262,-51.783127
1524942977.13,0.000446,-0.077497,0.135507,0.031113,-0.986023,-0.089264,214.287842,-118.314957,-51.942871
1524942977.15,0.01577,-0.091191,0.115235,0.043777,-0.984924,-0.088638,214.287506,-118.39006,-51.867874
1524942977.17,0.019043,-0.09754,0.115231,0.052048,-1.001724,-0.07251,213.987946,-118.239273,-51.78987100000001
1524942977.19,0.020943,-0.06775700000000001,0.108956,0.027237,-1.0048979999999998,-0.053757000000000006,214.213287,-118.314041,-52.392136
1524942977.21,0.016672,-0.043363,0.08442999999999999,0.031631,-1.012451,-0.047882,213.08709700000003,-118.610916,-52.230865
1524942977.23,0.015607,-0.026376,0.067383,0.024933,-1.00737,-0.06352200000000001,214.062546,-118.463928,-52.165619
1524942977.25,0.017891,-0.025304,0.052429,0.036911,-0.998688,-0.073624,213.83815,-118.313156,-52.238373
1524942977.27,0.024494,-0.038005,0.047074,0.040894,-1.002075,-0.077484,213.913437,-118.16371200000002,-52.01413
1524942977.29,0.026654,-0.040111,0.04708,0.041077,-1.005997,-0.068726,213.912888,-118.388382,-52.23912
1524942977.31,0.025542,-0.033744,0.044961,0.03833,-1.008469,-0.061691,213.163147,-118.311142,-52.231628
1524942977.33,0.022357,-0.031651,0.040668,0.037354000000000005,-1.008957,-0.061218,213.688324,-118.237808,-52.16188
1524942977.35,0.019159,-0.035932,0.043836,0.036179,-1.0062870000000002,-0.06681799999999999,213.837326,-118.463608,-51.93837
1524942977.37,0.01487,-0.039158,0.048069,0.029556,-1.000717,-0.068344,213.837173,-118.463821,-51.788361
1524942977.39,0.010583,-0.034949,0.044848,0.027313,-0.999283,-0.064957,213.912201,-118.538605,-52.089111
1524942977.41,0.007377,-0.028605,0.038435,0.023666,-1.001266,-0.06425499999999999,212.861679,-118.834671,-52.603607
1524942977.44,0.007368,-0.019043,0.029919,0.033752,-1.006302,-0.067337,213.611603,-118.68782,-52.011108
1524942977.46,0.007445,-0.02436,0.027758,0.031799,-1.006317,-0.067841,213.835861,-118.838821,-51.788345
1524942977.48,0.008559,-0.025416,0.024552,0.024445,-1.002228,-0.06765700000000001,213.461685,-118.687256,-52.08461
1524942977.5,0.007568000000000002,-0.024369,0.015993,0.02562,-1.0005190000000002,-0.064728,213.536758,-118.687363,-52.160355
1524942977.52,0.0075689999999999985,-0.021182,0.012798,0.030792,-1.004623,-0.06639099999999999,212.787994,-118.459457,-52.602875
1524942977.54,0.00351,-0.043548,0.013741,0.024673,-1.003464,-0.065475,213.686935,-118.61293,-52.086868
1524942977.56,0.003468,-0.033984,0.008434,0.022171,-0.998596,-0.06427000000000001,213.611084,-118.837814,-52.011108
1524942977.58,0.001255,-0.018063,-6.9e-05,0.025452,-1.003448,-0.069122,213.762436,-118.388596,-51.787613
1524942977.6,-0.003013,-0.024478,0.005220000000000001,0.026627,-1.00882,-0.060837,213.236008,-118.836807,-51.932358
1524942977.62,-0.001832,-0.026601,-0.003337,0.032074,-1.005585,-0.071243,212.412201,-118.683334,-52.599121
1524942977.64,-0.00621,-0.029821,0.009453,0.024902,-1.003204,-0.064499,213.311935,-118.761017,-52.608109
1524942977.66,-0.00732,-0.011769,-0.004382,0.022949,-1.003479,-0.063538,213.462021,-118.612137,-52.159607
1524942977.68,-0.009437,-0.016040000000000002,-0.002276,0.041199,-1.009903,-0.076035,213.386246,-118.836914,-52.158859
1524942977.7,-0.012767,-0.013937,0.007334999999999999,0.023987,-1.011292,-0.06304900000000001,213.236237,-118.836456,-52.157349
1524942977.72,-0.015832,-0.021414,0.000863,0.03595,-1.011917,-0.063416,212.411606,-118.833435,-52.524109
1524942977.74,-0.023384,-0.021480000000000003,0.0072260000000000015,0.028137,-1.003174,-0.070312,213.311447,-118.836349,-52.383118
1524942977.76,-0.027975,0.018872,-0.002258,0.036469,-1.009949,-0.06828300000000001,213.386765,-118.68692,-52.158859
1524942977.78,-0.034535,0.023071,0.007339,0.036774,-1.011658,-0.07267799999999999,213.461319,-118.837021,-52.234604
1524942977.8,-0.047457,0.016582,0.022193,0.025818,-1.003448,-0.059372,213.536499,-118.76236000000002,-52.160355
1524942977.82,-0.050913,0.052689,0.010559,0.011383,-0.996002,-0.061447,212.41088900000003,-119.058334,-52.599106000000006
1524942977.84,-0.056334,0.066454,0.004162,0.023163,-0.995651,-0.067673,213.610855,-118.987366,-52.311111
1524942977.86,-0.074728,0.093919,-0.002269,-0.004776,-0.978561,-0.046478,213.386459,-118.836578,-52.383865
1524942977.87,-0.08566900000000001,0.13208,-0.016087,-0.011002,-0.987656,-0.049973,213.311935,-118.611801,-52.083115
1524942977.89,-0.076181,0.171488,-0.041519,0.034943,-1.0148469999999998,-0.08048999999999999,213.387238,-118.61158799999998,-52.383865
1524942977.91,-0.077431,0.057733000000000013,-0.015280000000000004,0.043716000000000005,-1.012802,-0.103058,213.535965,-118.912354,-52.160355
1524942977.93,-0.062554,-0.019757,-0.032623,-0.004364,-0.982925,-0.102509,212.486404,-118.908554,-52.599854
1524942977.95,-0.045297,-0.004733,-0.061313,0.008011,-0.986725,-0.094116,213.461502,-118.762131,-52.159607
1524942977.97,-0.018613,0.029518,-0.089852,0.030273,-1.002899,-0.108292,213.536392,-118.837128,-52.310364
1524942977.99,8.4e-05,-0.041524,-0.069703,0.072311,-1.012283,-0.108383,213.611908,-118.687378,-52.311111
1524942978.01,-0.0005610000000000001,-0.089371,-0.063498,0.031508999999999995,-1.011215,-0.081497,213.311234,-118.836685,-52.158112
1524942978.03,0.015174000000000003,-0.052015,-0.07071000000000001,0.050018,-1.020325,-0.093994,212.787506,-118.684006,-52.902863
1524942978.05,0.034493,-0.07521,-0.054628,0.071396,-1.000549,-0.124207,213.686859,-118.762253,-52.536865
1524942978.07,0.041413,-0.156986,-0.022844,0.04158,-0.975403,-0.095963,213.536453,-118.837021,-52.385361
1524942978.09,0.059664,-0.13451,-0.051495000000000006,0.012238,-1.008438,-0.105072,213.98761,-118.612808,-52.764877
1524942978.11,0.103702,-0.145795,-0.058715,0.087234,-1.0180049999999998,-0.129669,213.98645,-118.83836399999998,-52.389862
1524942978.13,0.12944,-0.198675,-0.013836,0.049057,-1.000275,-0.111755,212.712921,-118.608566,-53.052124
1524942978.15,0.141096,-0.17306,-0.028616000000000006,0.015701,-0.997925,-0.052887,213.838181,-118.387711,-52.538376
1524942978.17,0.133323,-0.119992,-0.053042,0.028442,-0.995605,-0.060303,213.988327,-118.238708,-52.16487100000001
1524942978.19,0.129895,-0.105134,-0.046585,0.052917,-1.007339,-0.07933,213.76202400000003,-118.613037,-52.162613
1524942978.21,0.139439,-0.110349,-0.033704000000000005,0.049927,-0.991226,-0.087372,214.062225,-118.613602,-52.390625
1524942978.23,0.15332,-0.099593,-0.042114,0.030441000000000006,-0.989456,-0.091705,213.08754,-118.610229,-52.680878
1524942978.25,0.16306700000000002,-0.096323,-0.057004999999999986,0.027328,-0.994385,-0.07103,214.212234,-118.614044,-52.39212
1524942978.27,0.186652,-0.071671,-0.086677,0.032562,-0.997269,-0.078293,214.437836,-118.315399,-51.944382
1524942978.29,0.204122,-0.103405,-0.089898,0.048187,-1.001526,-0.076447,214.288071,-118.314606,-52.167877
1524942978.32,0.230044,-0.138239,-0.080237,0.056061,-1.003906,-0.058578,214.362732,-118.389938,-52.093613
1524942978.34,0.223511,-0.158476,-0.049353,0.069244,-1.002563,-0.038483,213.763809,-118.162704,-52.38763400000001
1524942978.36,0.209834,-0.097983,-0.027797,0.07267799999999999,-1.02478,-0.021912,214.513931,-117.940964,-51.720139
1524942978.38,0.199745,-0.08316799999999999,0.002144,0.08165,-1.028625,-0.014266999999999997,214.288925,-117.940292,-51.71788
1524942978.4,0.187766,-0.099199,0.038355,0.054581,-1.018356,-0.0233,214.438431,-118.016068,-51.494385
