,Unnamed: 0,Time,TimeRedundant,X,Y,Z
166,166,1525628536.471403,1525628536.471403,-0.165113,-0.31805300000000003,0.17443599999999998
167,167,1525628536.481461,1525628536.481461,-0.176251,-0.277523,0.215019
168,168,1525628536.491439,1525628536.491439,-0.187316,-0.286028,0.271565
169,169,1525628536.5014222,1525628536.5014222,-0.182277,-0.290342,0.335365
170,170,1525628536.5113974,1525628536.5113974,-0.161342,-0.311773,0.393648
171,171,1525628536.5213811,1525628536.5213811,-0.148227,-0.333158,0.423289
172,172,1525628536.531306,1525628536.531306,-0.165377,-0.31816,0.41392
173,173,1525628536.541477,1525628536.541477,-0.195556,-0.283911,0.382359
174,174,1525628536.551317,1525628536.551317,-0.209747,-0.250796,0.349539
175,175,1525628536.561176,1525628536.561176,-0.209939,-0.23373400000000005,0.330383
176,176,1525628536.571347,1525628536.571347,-0.215327,-0.202798,0.319806
177,177,1525628536.581268,1525628536.581268,-0.22277,-0.17185599999999998,0.315641
178,178,1525628536.591312,1525628536.591312,-0.214189,-0.148444,0.314472
179,179,1525628536.6012142,1525628536.6012142,-0.198078,-0.120803,0.317469
180,180,1525628536.6113286,1525628536.6113286,-0.206583,-0.103713,0.31651
181,181,1525628536.621174,1525628536.621174,-0.238562,-0.076931,0.313708
182,182,1525628536.631265,1525628536.631265,-0.255573,-0.058741,0.314981
183,183,1525628536.642281,1525628536.642281,-0.260856,-0.074709,0.322496
184,184,1525628536.651113,1525628536.651113,-0.266899,-0.067235,0.350244
185,185,1525628536.661227,1525628536.661227,-0.267384,-0.053397,0.394953
186,186,1525628536.671068,1525628536.671068,-0.269951,-0.0193,0.439688
187,187,1525628536.681221,1525628536.681221,-0.280141,0.046811,0.4653600000000001
188,188,1525628536.690901,1525628536.690901,-0.287389,0.108657,0.470772
189,189,1525628536.701008,1525628536.701008,-0.302596,0.12578599999999998,0.445414
190,190,1525628536.711154,1525628536.711154,-0.313787,0.125852,0.402976
191,191,1525628536.721094,1525628536.721094,-0.320621,0.130161,0.366872
